iter	Logloss
0	0.5985015309
1	0.5163786396
2	0.4398920918
3	0.3874064422
4	0.3428451987
5	0.3057687717
6	0.2765207201
7	0.2508506643
8	0.2109362103
9	0.1942356834
10	0.1694490209
11	0.1539713304
12	0.1451337794
13	0.1353324518
14	0.1272967112
15	0.1228021017
16	0.1190417516
17	0.1155953732
18	0.1113129192
19	0.1075109681
20	0.1054562711
21	0.1032470014
22	0.1005482413
23	0.09855546859
24	0.09722415954
25	0.09568997332
26	0.09450279213
27	0.0933924701
28	0.09244061225
29	0.09222019276
30	0.09148418914
31	0.09060946628
32	0.08983744408
33	0.08910341261
34	0.08864047127
35	0.08796322105
36	0.08740176957
37	0.08698636653
38	0.08647980753
39	0.08611261956
40	0.08577251729
41	0.08545881164
42	0.08517981383
43	0.08504405567
44	0.08432219602
45	0.08417412563
46	0.08401567206
47	0.08382578421
48	0.08367674217
49	0.08352868103
50	0.08338171902
51	0.08323493405
52	0.0830801912
53	0.08301954527
54	0.08245852809
55	0.08197928972
56	0.08182569059
57	0.0817039162
58	0.08159896402
59	0.08148056768
60	0.08142894848
61	0.08133718222
62	0.08099264857
63	0.08089324398
64	0.08080284966
65	0.08071534119
66	0.08063040787
67	0.08056319845
68	0.08049841302
69	0.08044019281
70	0.08036564385
71	0.08028584443
72	0.08021492317
73	0.08016008203
74	0.0801139252
75	0.0800578742
76	0.07998767593
77	0.07995475209
78	0.07963704976
79	0.07956650733
80	0.07950668862
81	0.07946108389
82	0.07941529158
83	0.0792144117
84	0.07918853949
85	0.07915519838
86	0.07915206976
87	0.07910713691
88	0.07887896065
89	0.07883619572
90	0.07877000426
91	0.07868757434
92	0.0786134136
93	0.07855582344
94	0.07850843146
95	0.07850377491
96	0.07846219146
97	0.07840986924
98	0.07837633855
99	0.07837490707
100	0.07832322868
101	0.07830714975
102	0.0782470696
103	0.07818881246
104	0.0781484314
105	0.078123156
106	0.07810589963
107	0.07808703653
108	0.07806911536
109	0.07806329535
110	0.07806324417
111	0.07803150387
112	0.07803038925
113	0.07801284889
114	0.07800425833
115	0.07800044985
116	0.07799721388
117	0.07799451804
118	0.07793976957
119	0.07788621962
120	0.07787405811
121	0.07786280559
122	0.07784922093
123	0.07781104852
124	0.07778959553
125	0.07774728509
126	0.07774727587
127	0.07771902145
128	0.07767255031
129	0.07764366965
130	0.07751372673
131	0.07750531551
132	0.07749994577
133	0.07749420904
134	0.07744350958
135	0.07742145208
136	0.07741361485
137	0.0774072379
138	0.07738958071
139	0.07736092832
140	0.07734539541
141	0.07733956126
142	0.07723154872
143	0.07721120811
144	0.07715952169
145	0.07713245408
146	0.07709616353
147	0.07709615319
148	0.07706725014
149	0.07704290795
150	0.0770094636
151	0.07699457952
152	0.07697276012
153	0.07697275893
154	0.0769715414
155	0.07694548375
156	0.07693968303
157	0.07691762421
158	0.07688135681
159	0.07685662762
160	0.07685397731
161	0.07685090453
162	0.07680999044
163	0.07680379914
164	0.07678504258
165	0.07676724479
166	0.07676391501
167	0.0767461904
168	0.07672027441
169	0.07669058511
170	0.07668819581
171	0.0766748995
172	0.07667030341
173	0.07663839065
174	0.07662826161
175	0.07660595737
176	0.07660211273
177	0.07658268751
178	0.07658268717
179	0.07654196128
180	0.07651913319
181	0.07648667751
182	0.07646257842
183	0.07646196979
184	0.07646125296
185	0.07645258248
186	0.07644224463
187	0.07643684187
188	0.07642396241
189	0.0764185564
190	0.07639471673
191	0.0763724075
192	0.07635739518
193	0.07631864034
194	0.07630651478
195	0.07630312728
196	0.07628638921
197	0.07628047966
198	0.0762655781
199	0.07626003096
200	0.07624752504
201	0.07623625987
202	0.07621258415
203	0.07619011351
204	0.07616695202
205	0.07615971642
206	0.07613042314
207	0.07604770655
208	0.07601763558
209	0.07599930513
210	0.07598919907
211	0.07598919674
212	0.07598776812
213	0.07597109355
214	0.07595492642
215	0.07594176055
216	0.07594109702
217	0.07591096866
218	0.07589789805
219	0.07589209965
220	0.07589024324
221	0.07589003551
222	0.07585032477
223	0.07584933452
224	0.07578210051
225	0.07576780438
226	0.07573726204
227	0.07572602283
228	0.07570811588
229	0.07567924367
230	0.07564757944
231	0.07563040563
232	0.07561871486
233	0.0755881305
234	0.0755569408
235	0.07553809066
236	0.07551456993
237	0.07546796983
238	0.07544392985
239	0.07542390838
240	0.07541546436
241	0.07540002928
242	0.07537483192
243	0.07536183731
244	0.07533981723
245	0.07532027782
246	0.07529890116
247	0.07529637468
248	0.07526913504
249	0.075247015
250	0.07522235887
