Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/predict,729,0,7,10.559573662176662,4.980399971827865,347.5273999501951,138.9026063100137,12.953887125357673,0.0,7,8,10,11,12,15,28,41,350,350,350
,Aggregated,729,0,7,10.559573662176662,4.980399971827865,347.5273999501951,138.9026063100137,12.953887125357673,0.0,7,8,10,11,12,15,28,41,350,350,350
