Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1790405529,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1790405530,5,,Aggregated,0.000000,0.000000,280,280,280,280,350,350,350,350,350,350,350,7,0,280,210.471799987967,8.07469995925203,347.5273999501951,139.14285714285714
1790405531,10,,Aggregated,0.000000,0.000000,12,33,33,280,280,280,350,350,350,350,350,23,0,12,75.01519129500198,6.261000002268702,347.5273999501951,139.08695652173913
1790405532,10,,Aggregated,5.000000,0.000000,8,12,32,33,280,280,350,350,350,350,350,35,0,8,52.08299713309056,6.038899999111891,347.5273999501951,139.02857142857144
1790405533,10,,Aggregated,8.000000,0.000000,7,11,12,18,33,280,280,350,350,350,350,51,0,7,38.397519604996866,5.474900011904538,347.5273999501951,139.01960784313727
1790405534,10,,Aggregated,9.666667,0.000000,7,10,11,12,33,280,280,350,350,350,350,61,0,7,33.18653442538114,5.474900011904538,347.5273999501951,138.98360655737704
1790405535,10,,Aggregated,10.500000,0.000000,7,8,11,12,33,280,280,350,350,350,350,75,0,7,28.457994666726638,5.474900011904538,347.5273999501951,138.97333333333333
1790405536,10,,Aggregated,11.000000,0.000000,7,8,11,11,32,280,280,350,350,350,350,87,0,7,25.507651725061365,5.474900011904538,347.5273999501951,138.9655172413793
1790405537,10,,Aggregated,11.333333,0.000000,7,8,10,11,18,33,280,280,350,350,350,101,0,7,23.128990100069654,5.474900011904538,347.5273999501951,138.96039603960395
1790405538,10,,Aggregated,11.428571,0.000000,7,8,10,11,18,33,280,280,350,350,350,113,0,7,21.36768761196017,5.331000022124499,347.5273999501951,138.95575221238937
1790405539,10,,Aggregated,11.500000,0.000000,7,8,10,11,12,33,280,280,350,350,350,126,0,7,19.942385715059196,5.331000022124499,347.5273999501951,138.96031746031747
1790405540,10,,Aggregated,11.666667,0.000000,7,7,8,10,12,33,280,280,350,350,350,138,0,7,18.781839130510427,5.3227999596856534,347.5273999501951,138.96376811594203
1790405541,10,,Aggregated,11.900000,0.000000,7,7,9,10,12,33,280,280,350,350,350,153,0,7,17.753598039431097,5.3227999596856534,347.5273999501951,138.9607843137255
1790405542,10,,Aggregated,12.400000,0.000000,7,7,8,10,12,32,280,280,350,350,350,166,0,7,16.920065060917132,5.3227999596856534,347.5273999501951,138.95180722891567
1790405543,10,,Aggregated,12.700000,0.000000,7,8,10,11,12,32,280,280,350,350,350,179,0,7,16.400027374656318,5.3227999596856534,347.5273999501951,138.9441340782123
1790405544,10,,Aggregated,12.900000,0.000000,7,8,10,11,12,32,280,280,350,350,350,191,0,7,15.843295288047905,5.3227999596856534,347.5273999501951,138.94240837696336
1790405545,10,,Aggregated,12.800000,0.000000,7,7,8,10,12,18,280,280,350,350,350,205,0,7,15.220521463978491,5.3227999596856534,347.5273999501951,138.93170731707318
1790405546,10,,Aggregated,12.700000,0.000000,7,7,8,10,12,18,280,280,350,350,350,218,0,7,14.718841284475024,5.3227999596856534,347.5273999501951,138.93119266055047
1790405547,10,,Aggregated,12.900000,0.000000,7,7,8,10,12,18,280,280,350,350,350,230,0,7,14.307036956660854,5.3227999596856534,347.5273999501951,138.93478260869566
1790405548,10,,Aggregated,13.000000,0.000000,7,7,8,10,11,14,280,280,350,350,350,244,0,7,13.912599181210561,5.241700040642172,347.5273999501951,138.93032786885246
1790405549,10,,Aggregated,13.200000,0.000000,7,7,8,9,11,14,33,280,350,350,350,258,0,7,13.52562713247269,5.241700040642172,347.5273999501951,138.93410852713177
1790405550,10,,Aggregated,13.000000,0.000000,7,7,8,9,11,13,33,280,350,350,350,268,0,7,13.302436567592755,5.241700040642172,347.5273999501951,138.93283582089552
1790405551,10,,Aggregated,13.000000,0.000000,7,7,8,10,12,14,33,280,350,350,350,284,0,7,13.121530281635605,5.241700040642172,347.5273999501951,138.92605633802816
1790405552,10,,Aggregated,13.100000,0.000000,7,7,8,10,12,14,33,280,350,350,350,294,0,7,12.930478571421549,5.241700040642172,347.5273999501951,138.91836734693877
1790405553,10,,Aggregated,13.000000,0.000000,7,7,8,10,12,15,33,280,350,350,350,306,0,7,12.778704901898486,5.241700040642172,347.5273999501951,138.91503267973857
1790405554,10,,Aggregated,12.900000,0.000000,7,7,8,10,12,15,33,280,350,350,350,320,0,7,12.533165937202284,5.241700040642172,347.5273999501951,138.9125
1790405555,10,,Aggregated,12.600000,0.000000,7,7,8,10,12,15,33,280,350,350,350,334,0,7,12.317011376646274,5.241700040642172,347.5273999501951,138.9131736526946
1790405556,10,,Aggregated,12.700000,0.000000,7,7,8,10,12,15,33,280,350,350,350,352,0,7,12.168881533150191,5.241700040642172,347.5273999501951,138.9034090909091
1790405557,10,,Aggregated,12.600000,0.000000,7,7,8,10,12,15,33,280,350,350,350,363,0,7,12.002834434154092,5.241700040642172,347.5273999501951,138.900826446281
1790405558,10,,Aggregated,13.100000,0.000000,7,7,8,10,12,15,33,280,350,350,350,376,0,7,11.852553190150735,5.241700040642172,347.5273999501951,138.90425531914894
1790405559,10,,Aggregated,13.000000,0.000000,7,7,8,10,12,14,33,280,350,350,350,388,0,7,11.688438916102426,5.241700040642172,347.5273999501951,138.9020618556701
1790405560,10,,Aggregated,13.000000,0.000000,7,7,8,10,12,14,33,280,350,350,350,400,0,7,11.58141024876386,5.241700040642172,347.5273999501951,138.905
1790405561,10,,Aggregated,12.900000,0.000000,7,7,8,10,12,14,32,280,350,350,350,413,0,7,11.506142129684115,5.241700040642172,347.5273999501951,138.90799031477
1790405562,10,,Aggregated,13.000000,0.000000,7,7,8,10,12,13,32,280,350,350,350,425,0,7,11.405230116866091,5.241700040642172,347.5273999501951,138.90823529411765
1790405563,10,,Aggregated,13.000000,0.000000,7,7,8,10,12,13,32,280,350,350,350,442,0,7,11.249819456371036,5.241700040642172,347.5273999501951,138.90723981900453
1790405564,10,,Aggregated,12.800000,0.000000,7,7,8,10,12,13,32,280,350,350,350,453,0,7,11.183599558007177,5.241700040642172,347.5273999501951,138.90949227373068
1790405565,10,,Aggregated,13.100000,0.000000,7,7,8,10,12,13,32,280,350,350,350,466,0,7,11.078181973975271,5.241700040642172,347.5273999501951,138.90343347639484
1790405566,10,,Aggregated,13.300000,0.000000,7,7,8,10,12,13,32,280,350,350,350,478,0,7,10.998756903375666,5.241700040642172,347.5273999501951,138.9058577405858
1790405567,10,,Aggregated,13.200000,0.000000,7,7,8,10,12,13,32,280,350,350,350,492,0,7,10.917712601395777,5.241700040642172,347.5273999501951,138.90650406504065
1790405568,10,,Aggregated,12.600000,0.000000,7,7,8,10,12,13,24,33,350,350,350,507,0,7,10.819706903022936,5.241700040642172,347.5273999501951,138.90532544378698
1790405569,10,,Aggregated,12.500000,0.000000,7,7,8,10,12,13,24,33,350,350,350,520,0,7,10.711839422695517,5.241700040642172,347.5273999501951,138.90576923076924
1790405570,10,,Aggregated,12.800000,0.000000,7,7,8,10,11,13,24,33,350,350,350,532,0,7,10.660336465689465,5.241700040642172,347.5273999501951,138.906015037594
1790405571,10,,Aggregated,13.000000,0.000000,7,7,8,10,12,13,24,33,350,350,350,546,0,7,10.629918131399082,5.241700040642172,347.5273999501951,138.9065934065934
1790405572,10,,Aggregated,13.200000,0.000000,7,7,9,11,12,13,18,33,350,350,350,560,0,7,10.673274999654884,5.241700040642172,347.5273999501951,138.90535714285716
1790405573,10,,Aggregated,12.900000,0.000000,7,7,9,11,12,14,32,42,350,350,350,570,0,7,10.871631754031242,5.241700040642172,347.5273999501951,138.90877192982455
1790405574,10,,Aggregated,13.300000,0.000000,7,8,10,11,12,15,32,42,350,350,350,584,0,7,11.026330650142196,5.241700040642172,347.5273999501951,138.90753424657535
1790405575,10,,Aggregated,13.400000,0.000000,7,8,10,11,12,16,32,42,350,350,350,596,0,7,11.053357549631286,5.241700040642172,347.5273999501951,138.90771812080536
1790405576,10,,Aggregated,12.900000,0.000000,7,8,10,11,12,16,32,41,350,350,350,609,0,7,10.975291789337314,5.241700040642172,347.5273999501951,138.9031198686371
1790405577,10,,Aggregated,12.900000,0.000000,7,8,10,11,12,15,32,41,350,350,350,621,0,7,10.902576166975212,5.241700040642172,347.5273999501951,138.9049919484702
1790405578,10,,Aggregated,12.900000,0.000000,7,7,10,11,12,15,32,41,350,350,350,634,0,7,10.81974258617357,5.241700040642172,347.5273999501951,138.9006309148265
1790405579,10,,Aggregated,13.000000,0.000000,7,7,10,11,12,15,32,41,350,350,350,649,0,7,10.760785669654476,5.241700040642172,347.5273999501951,138.89830508474577
1790405580,10,,Aggregated,12.900000,0.000000,7,8,10,11,12,15,29,41,350,350,350,661,0,7,10.73115476491296,4.980399971827865,347.5273999501951,138.9001512859304
1790405581,10,,Aggregated,12.600000,0.000000,7,8,10,11,12,15,29,41,350,350,350,675,0,7,10.64883748103899,4.980399971827865,347.5273999501951,138.90074074074073
1790405582,10,,Aggregated,12.700000,0.000000,7,8,10,11,12,15,29,41,350,350,350,690,0,7,10.583303477935681,4.980399971827865,347.5273999501951,138.90144927536232
1790405583,10,,Aggregated,13.000000,0.000000,7,8,10,11,12,15,28,41,350,350,350,703,0,7,10.577129871517574,4.980399971827865,347.5273999501951,138.9018492176387
1790405584,10,,Aggregated,12.700000,0.000000,7,8,10,11,12,15,28,41,350,350,350,716,0,7,10.608787010696993,4.980399971827865,347.5273999501951,138.9036312849162
1790405585,10,,Aggregated,12.900000,0.000000,7,8,10,11,12,15,28,41,350,350,350,729,0,7,10.559573662176662,4.980399971827865,347.5273999501951,138.9026063100137
