Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/predict,3719,0,11,20.672525141553958,5.147500021848828,860.2398000075482,138.91852648561442,62.69060770736207,0.0,11,14,16,17,24,30,94,280,850,860,860
,Aggregated,3719,0,11,20.672525141553958,5.147500021848828,860.2398000075482,138.91852648561442,62.69060770736207,0.0,11,14,16,17,24,30,94,280,850,860,860
