Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1790406334,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1790406335,10,,Aggregated,0.000000,0.000000,85,94,94,95,95,95,95,95,95,95,95,15,0,85,62.75757332332432,6.567200005520135,94.88600003533065,138.93333333333334
1790406336,20,,Aggregated,0.000000,0.000000,16,74,83,85,94,95,95,95,95,95,95,46,0,16,41.321454339397505,6.531999970320612,94.88600003533065,138.93478260869566
1790406337,30,,Aggregated,10.000000,0.000000,12,60,72,78,87,94,95,95,95,95,95,90,0,12,35.366927775450876,5.611300002783537,94.88600003533065,138.88888888888889
1790406338,40,,Aggregated,14.500000,0.000000,11,16,60,65,83,87,95,95,95,95,95,149,0,11,28.966238926127303,5.275000003166497,94.88600003533065,138.90604026845637
1790406339,50,,Aggregated,21.000000,0.000000,18,73,94,250,650,750,850,860,860,860,860,200,0,18,149.5375984988641,5.275000003166497,860.2398000075482,138.95
1790406340,50,,Aggregated,26.750000,0.000000,12,58,78,94,560,700,840,850,860,860,860,253,0,12,120.03957193548213,5.2396999672055244,860.2398000075482,138.92885375494072
1790406341,50,,Aggregated,30.400000,0.000000,12,21,64,78,470,680,820,850,860,860,860,318,0,12,98.22702201163109,5.2396999672055244,860.2398000075482,138.93710691823898
1790406342,50,,Aggregated,33.666667,0.000000,11,16,42,66,280,650,760,850,860,860,860,380,0,11,83.97277842052158,5.209900031331927,860.2398000075482,138.94210526315788
1790406343,50,,Aggregated,37.000000,0.000000,11,16,24,55,130,620,760,840,860,860,860,440,0,11,74.13465863593791,5.209900031331927,860.2398000075482,138.92727272727274
1790406344,50,,Aggregated,40.875000,0.000000,11,16,21,30,94,560,730,840,860,860,860,512,0,11,65.43627499956983,5.209900031331927,860.2398000075482,138.92578125
1790406345,50,,Aggregated,43.000000,0.000000,11,16,20,24,85,510,700,840,860,860,860,573,0,11,59.81600732958256,5.209900031331927,860.2398000075482,138.9197207678883
1790406346,50,,Aggregated,45.100000,0.000000,11,15,18,21,78,470,700,820,860,860,860,633,0,11,55.18508941526591,5.209900031331927,860.2398000075482,138.92101105845182
1790406347,50,,Aggregated,50.700000,0.000000,11,15,17,21,69,370,690,820,860,860,860,695,0,11,51.360020287612976,5.209900031331927,860.2398000075482,138.9208633093525
1790406348,50,,Aggregated,55.300000,0.000000,11,15,17,20,66,280,680,760,860,860,860,759,0,11,48.07086007929394,5.209900031331927,860.2398000075482,138.9235836627141
1790406349,50,,Aggregated,57.400000,0.000000,11,15,16,20,63,210,680,760,860,860,860,827,0,11,45.03611620396495,5.147500021848828,860.2398000075482,138.92261185006046
1790406350,50,,Aggregated,59.100000,0.000000,11,15,16,19,51,130,670,760,860,860,860,899,0,11,42.30108209172143,5.147500021848828,860.2398000075482,138.91879866518354
