Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/predict,7130,0,29,55.79667013979564,5.3884999942965806,464.22960003837943,139.00210378681626,120.2351422338374,0.0,29,46,64,82,140,200,290,330,450,460,460
,Aggregated,7130,0,29,55.79667013979564,5.3884999942965806,464.22960003837943,139.00210378681626,120.2351422338374,0.0,29,46,64,82,140,200,290,330,450,460,460
